# STATION: KNYC
# STATION NAME: New York City, Central Park
# LATITUDE: 40.78333
# LONGITUDE: -73.96667
# ELEVATION [ft]: 154.0
# STATE: NY
Station_ID,Date_Time,air_temp_set_1,dew_point_temperature_set_1,wind_speed_set_1,visibility_set_1,air_temp_high_6_hour_set_1,air_temp_low_6_hour_set_1,air_temp_high_24_hour_set_1,air_temp_low_24_hour_set_1,dew_point_temperature_set_1d
,,Fahrenheit,Fahrenheit,Miles/hour,Statute miles,Fahrenheit,Fahrenheit,Fahrenheit,Fahrenheit,Fahrenheit
KNYC,01/01/2018 00:51 UTC,12.02,-5.08,11.5,10.0,,,,,-5.3
KNYC,01/01/2018 01:51 UTC,10.94,-5.08,9.22,10.0,,,,,-5.29
KNYC,01/01/2018 02:51 UTC,10.04,-5.08,12.66,10.0,,,,,-5.29
KNYC,01/01/2018 03:51 UTC,10.04,-4.0,11.5,10.0,,,,,-4.2
KNYC,01/01/2018 04:51 UTC,8.96,-4.0,9.22,10.0,,,21.02,8.96,-4.19
KNYC,01/01/2018 05:51 UTC,8.96,-4.0,9.22,10.0,12.02,8.96,,,-4.19
KNYC,01/01/2018 06:51 UTC,8.96,-4.0,10.36,10.0,,,,,-4.19
KNYC,01/01/2018 07:51 UTC,8.06,-4.0,10.36,10.0,,,,,-4.18
KNYC,01/01/2018 08:51 UTC,8.06,-5.08,6.91,10.0,,,,,-5.26
KNYC,01/01/2018 09:51 UTC,8.06,-5.08,9.22,10.0,,,,,-5.26
KNYC,01/01/2018 10:51 UTC,6.98,-5.08,5.75,10.0,,,,,-5.25
KNYC,01/01/2018 11:51 UTC,6.98,-5.08,8.05,10.0,8.96,6.98,,,-5.25
KNYC,01/01/2018 12:51 UTC,6.98,-4.0,5.75,10.0,,,,,-4.16
KNYC,01/01/2018 13:51 UTC,8.06,-2.92,5.75,10.0,,,,,-3.08
KNYC,01/01/2018 14:51 UTC,10.94,-2.92,8.05,10.0,,,,,-3.12
KNYC,01/01/2018 15:51 UTC,12.02,-4.0,9.22,10.0,,,,,-4.22
KNYC,01/01/2018 16:51 UTC,14.0,-4.0,8.05,10.0,,,,,-4.23
KNYC,01/01/2018 17:51 UTC,15.08,-5.08,10.36,10.0,15.08,6.98,,,-5.32
KNYC,01/01/2018 18:51 UTC,17.06,-5.08,9.22,10.0,,,,,-5.34
KNYC,01/01/2018 19:51 UTC,17.96,-5.08,3.44,10.0,,,,,-5.34
KNYC,01/01/2018 20:51 UTC,17.96,-5.98,9.22,10.0,,,,,-6.24
KNYC,01/01/2018 21:51 UTC,17.96,-5.08,6.91,10.0,,,,,-5.34
KNYC,01/01/2018 22:51 UTC,17.96,-5.98,9.22,10.0,,,,,-6.24
KNYC,01/01/2018 23:51 UTC,17.06,-4.0,3.44,10.0,19.04,15.08,,,-4.25
KNYC,01/02/2018 00:51 UTC,17.06,-4.0,8.05,10.0,,,,,-4.25
KNYC,01/02/2018 01:51 UTC,17.06,-2.02,4.61,10.0,,,,,-2.26
KNYC,01/02/2018 02:51 UTC,17.06,-0.04,10.36,10.0,,,,,-0.27
KNYC,01/02/2018 03:51 UTC,15.98,1.94,11.5,10.0,,,,,1.74
KNYC,01/02/2018 04:51 UTC,15.08,3.02,3.44,10.0,,,19.04,6.98,2.83
KNYC,01/02/2018 05:51 UTC,15.08,1.94,10.36,10.0,17.06,15.08,,,1.75
KNYC,01/02/2018 06:51 UTC,15.08,1.04,14.97,10.0,,,,,0.84
